Date,Observer_mortality,Starting_time,Water_temperature_holding_tank,Temperature_assay,Duration_exposure_hours,Tank,Mortality_after_trial,Mortality_the_next_day,N_individuals_after_trial,N_individuals_after_recovery,Total_Sample_body_mass_g,Time_next_day_measured,Notes
29/06/2025,PP/ET/AB,14:58,16.7,33,0.5,5,1,1,10,10,1.46,9:05,Third replicate within the same trial day
29/06/2025,PP/ET/AB,14:58,16.7,33,0.75,5,1,1,10,10,1.91,9:05,Third replicate within the same trial day
29/06/2025,PP/ET/AB,14:46,16.7,33,1,5,1,1,10,10,1.91,9:05,Third replicate within the same trial day
29/06/2025,PP/ET/AB,14:46,16.7,33,2,5,1,1,10,10,1.68,9:05,Third replicate within the same trial day
29/06/2025,PP/ET/AB,17:34,16.7,33,0.25,3,0.9,0.3,10,10,1.89,9:05,NA
29/06/2025,PP/ET/AB,17:34,16.7,33,0.25,4,0.7,0.4,10,10,1.64,9:05,Second replicate within the same trial day.
29/06/2025,PP/ET/AB,17:34,16.7,33,0.25,5,0.8,0.7,10,10,1.52,9:05,Third replicate within the same trial day
29/06/2025,PP/ET/AB,18:09,16.7,33,0.083333333,3,0.3,0.1,10,10,1.8,9:05,NA
29/06/2025,PP/ET/AB,18:09,16.7,33,0.083333333,4,0.6,0.6,10,10,1.68,9:05,Second replicate within the same trial day.
29/06/2025,PP/ET/AB,18:09,16.7,33,0.083333333,5,0.2,0.2,10,10,1.76,9:05,Third replicate within the same trial day
30/06/2025,PP,12:35,16.8,30,0.5,6,0,0.1,10,10,1.49,9:20,NA
30/06/2025,PP,11:47,16.8,30,0.75,6,0.1,0.1,10,10,2.13,9:20,NA
30/06/2025,PP,12:35,16.8,30.5,0.5,5,0,0.1,10,10,1.89,9:20,NA
30/06/2025,PP,11:47,16.8,30.5,0.75,5,0.2,0.2,10,10,1.98,9:20,NA
30/06/2025,PP,12:35,16.8,31,0.5,4,0,0,10,10,1.69,9:20,NA
30/06/2025,PP,11:47,16.8,31,0.75,4,0.1,0.1,10,10,1.64,9:20,NA
30/06/2025,PP,12:35,16.8,31.5,0.5,3,0,0,10,10,1.84,9:20,NA
30/06/2025,PP,11:47,16.8,31.5,0.75,3,0.1,0.1,10,10,1.85,9:20,NA
30/06/2025,PP,12:35,16.8,32,0.5,2,0,0,10,10,1.63,9:20,NA
30/06/2025,PP,11:47,16.8,32,0.75,2,0.4,0.5,10,10,1.79,9:20,NA
30/06/2025,PP,12:35,16.8,32.5,0.5,1,0.3,0.3,10,10,1.29,9:20,NA
30/06/2025,PP,11:47,16.8,32.5,0.75,1,0.6,0.8,10,10,1.89,9:20,NA
30/06/2025,PP,10:47,16.8,30,6,6,0.4,0.4,10,10,2.11,9:20,NA
30/06/2025,PP,10:47,16.8,30.5,6,6,1,1,10,10,2,9:20,NA
30/06/2025,PP,13:06,16.8,32,0.25,2,0.2,0.2,10,10,1.5,9:20,NA
30/06/2025,PP,13:06,16.8,32,0.25,2,0.1,0.1,10,10,1.68,9:20,NA
30/06/2025,PP,17:01,16.8,32,0.25,1,0.2,0.2,10,10,1.89,9:20,NA
30/06/2025,PP,17:01,16.8,32,0.25,1,0.1,0.1,10,10,1.51,9:20,NA
30/06/2025,PP,13:06,16.8,32.5,0.25,1,0,0.1,10,10,1.45,9:20,NA
30/06/2025,PP,13:06,16.8,32.5,0.25,1,0.1,0.1,10,10,2.79,9:20,NA
30/06/2025,PP,17:01,16.8,32.5,0.25,2,0.3,0.3,10,10,1.47,9:20,NA
30/06/2025,PP,17:01,16.8,32.5,0.25,2,0,0,11,11,1.55,9:20,NA
