Temp,Time,row,col,initial_fvfm,final_fvfm,Unique_ID,G_Room,Day
42,5,5,3,0.794796308,0.686826667,P-12-02,A12,2
42,5,5,4,0.778538813,0.480921705,P-11-08,A15,2
42,5,3,5,0.788899583,0.42738753,P-1-40,A15,2
42,5,2,1,0.751682461,0.547798216,P-3-24,A12,2
42,5,2,2,0.763245724,0.514511389,P-1-22,A12,2
48,15,2,1,0.744461245,0.10088645,P-3-24,A12,2
48,15,2,2,0.729591837,0.117467115,P-1-22,A12,2
48,15,3,5,0.774054365,0.088755422,P-1-40,A15,2
48,15,5,3,0.759366357,0.084615385,P-12-02,A12,2
48,15,5,4,0.777785098,0.102500772,P-11-08,A15,2
45,60,5,4,0.768779265,0,P-11-08,A15,2
45,60,5,3,0.751576201,0.018731988,P-12-02,A12,2
45,60,3,5,0.788066542,0,P-1-40,A15,2
45,60,2,2,0.782990654,0.023323615,P-1-22,A12,2
45,60,2,1,0.76187115,0,P-3-24,A12,2
39,60,5,3,0.760262726,0.597695391,P-12-02,A12,2
39,60,5,4,0.795092114,0.674247556,P-11-08,A15,2
39,60,3,5,0.759733726,0.450721154,P-1-40,A15,2
39,60,2,1,0.780781852,0.534649867,P-3-24,A12,2
39,60,2,2,0.708622462,0.46398787,P-1-22,A12,2
42,120,5,4,0.791349275,0.046565774,P-11-08,A15,2
42,120,5,3,0.791043823,0.365493147,P-12-02,A12,2
42,120,3,5,0.79537825,0,P-1-40,A15,2
42,120,2,2,0.780758861,0.017293998,P-1-22,A12,2
42,120,2,1,0.770160491,0.122900088,P-3-24,A12,2
34,60,2,1,0.785317782,0.574169589,P-3-24,A12,2
34,60,2,2,0.783780088,0.609125475,P-1-22,A12,2
34,60,3,5,0.790813706,0.690492794,P-1-40,A15,2
34,60,5,3,0.800933752,0.615384615,P-12-02,A12,2
34,60,5,4,0.783744024,0.541458278,P-11-08,A15,2
48,30,2,1,0.786136089,0,P-3-24,A12,2
48,30,2,2,0.795244659,0,P-1-22,A12,2
48,30,3,5,0.802729351,0,P-1-40,A15,2
48,30,5,3,0.761777947,0,P-12-02,A12,2
48,30,5,4,0.796959826,0,P-11-08,A15,2
45,5,2,1,0.730442238,0.339495798,P-3-24,A12,2
45,5,2,2,0.725953821,0.29355687,P-1-22,A12,2
45,5,3,5,0.798555245,0.214019851,P-1-40,A15,2
45,5,5,3,0.790335342,0.44394084,P-12-02,A12,2
45,5,5,4,0.791884457,0.208380521,P-11-08,A15,2
48,120,2,1,0.770180501,0,P-3-24,A12,2
48,120,2,2,0.734411085,0,P-1-22,A12,2
48,120,3,5,0.794283037,0,P-1-40,A15,2
48,120,5,3,0.775840679,0,P-12-02,A12,2
48,120,5,4,0.799087705,0,P-11-08,A15,2
28,30,5,4,0.790582861,0.639537546,P-11-08,A15,2
28,30,5,3,0.783346917,0.654020963,P-12-02,A12,2
28,30,3,5,0.764242668,0.691434469,P-1-40,A15,2
28,30,2,2,0.730162953,0.629097441,P-1-22,A12,2
28,30,2,1,0.762348619,0.640362595,P-3-24,A12,2
45,15,2,2,0.762007874,0.194708995,P-1-22,A12,2
45,15,2,1,0.742745377,0.175649968,P-3-24,A12,2
45,15,3,5,0.78132005,0.089787526,P-1-40,A15,2
45,15,5,4,0.780381403,0.081325301,P-11-08,A15,2
45,15,5,3,0.764205552,0.286148008,P-12-02,A12,2
42,60,2,2,0.709337094,0.244353183,P-1-22,A12,2
42,60,2,1,0.764438222,0.333194329,P-3-24,A12,2
42,60,3,5,0.788450543,0.081188119,P-1-40,A15,2
42,60,5,4,0.779709591,0.099159664,P-11-08,A15,2
42,60,5,3,0.73666591,0.434216336,P-12-02,A12,2
42,30,2,2,0.791017173,0.198148148,P-1-22,A12,2
42,30,2,1,0.768782161,0.492043875,P-3-24,A12,2
42,30,3,5,0.799341399,0.081613508,P-1-40,A15,2
42,30,5,4,0.790502793,0.343830889,P-11-08,A15,2
42,30,5,3,0.796411748,0.47735709,P-12-02,A12,2
48,5,5,4,0.82299169,0.107033639,P-11-08,A15,2
48,5,5,3,0.798967653,0.135548523,P-12-02,A12,2
48,5,3,5,0.822819005,0.060194175,P-1-40,A15,2
48,5,2,2,0.808723404,0.169967757,P-1-22,A12,2
48,5,2,1,0.796730982,0.116075541,P-3-24,A12,2
39,15,5,3,0.781129843,0.705547506,P-12-02,A12,2
39,15,5,4,0.751434594,0.658118831,P-11-08,A15,2
39,15,3,5,0.793914807,0.719486824,P-1-40,A15,2
39,15,2,1,0.764440378,0.695906878,P-3-24,A12,2
39,15,2,2,0.787239945,0.716157903,P-1-22,A12,2
34,30,2,1,0.759058532,0.63860822,P-3-24,A12,2
34,30,2,2,0.752244587,0.640410059,P-1-22,A12,2
34,30,3,5,0.747991511,0.531573987,P-1-40,A15,2
34,30,5,3,0.772123468,0.603302057,P-12-02,A12,2
34,30,5,4,0.774624691,0.612615761,P-11-08,A15,2
45,120,2,1,0.757656087,0,P-3-24,A12,2
45,120,2,2,0.701032807,0,P-1-22,A12,2
45,120,3,5,0.780128447,0,P-1-40,A15,2
45,120,5,3,0.780432147,0,P-12-02,A12,2
45,120,5,4,0.773960217,0,P-11-08,A15,2
48,60,2,2,0.775057092,0,P-1-22,A12,2
48,60,2,1,0.745019436,0,P-3-24,A12,2
48,60,3,5,0.77013462,0,P-1-40,A15,2
48,60,5,4,0.764688303,0,P-11-08,A15,2
48,60,5,3,0.761869573,0,P-12-02,A12,2
28,120,5,3,0.792684659,0.62994629,P-12-02,A12,2
28,120,5,4,0.796691569,0.665008123,P-11-08,A15,2
28,120,3,5,0.797460087,0.619709103,P-1-40,A15,2
28,120,2,1,0.787298578,0.641139804,P-3-24,A12,2
28,120,2,2,0.789025243,0.648366013,P-1-22,A12,2
34,120,2,2,0.755340154,0.622604211,P-1-22,A12,2
34,120,2,1,0.769221404,0.594310722,P-3-24,A12,2
34,120,3,5,0.784083993,0.618311089,P-1-40,A15,2
34,120,5,4,0.78747751,0.575938267,P-11-08,A15,2
34,120,5,3,0.765060241,0.509103544,P-12-02,A12,2
39,120,2,1,0.771928561,0.622760692,P-3-24,A12,2
39,120,2,2,0.765323128,0.385023585,P-1-22,A12,2
39,120,3,5,0.782191279,0.178902954,P-1-40,A15,2
39,120,5,3,0.736828296,0.416558862,P-12-02,A12,2
39,120,5,4,0.793294911,0.548999562,P-11-08,A15,2
28,60,5,4,0.771106186,0.597390707,P-11-08,A15,2
28,60,5,3,0.807547466,0.660529344,P-12-02,A12,2
28,60,3,5,0.771700106,0.592937246,P-1-40,A15,2
28,60,2,2,0.776896443,0.649859944,P-1-22,A12,2
28,60,2,1,0.788353203,0.680343599,P-3-24,A12,2
