id,temp,lvl,time,sex,rep,prod,dead,t_coma
38-25-M-1,38,25,2.804785044,M,1,5.78,0,
38-25-M-2,38,25,2.804785044,M,2,3.27,0,
38-25-M-3,38,25,2.804785044,M,3,4.47,1,
38-25-M-4,38,25,2.804785044,M,4,7.09,0,
38-25-M-5,38,25,2.804785044,M,5,5.56,0,
38-25-M-6,38,25,2.804785044,M,6,2.84,0,
38-25-M-7,38,25,2.804785044,M,7,5.89,0,
38-25-M-8,38,25,2.804785044,M,8,1.09,0,
38-25-M-9,38,25,2.804785044,M,9,2.95,0,
38-25-M-10,38,25,2.804785044,M,10,3.71,0,
38-25-M-11,38,25,2.804785044,M,11,2.95,0,
38-25-M-12,38,25,2.804785044,M,12,6.11,0,
38-25-M-13,38,25,2.804785044,M,13,0,1,
38-25-M-14,38,25,2.804785044,M,14,2.51,0,
38-25-M-15,38,25,2.804785044,M,15,5.35,0,
37-300-M-1,37,300,83.45,M,1,0,1,32.41
37-300-M-2,37,300,83.45,M,2,0,1,47.45
37-300-M-3,37,300,83.45,M,3,0,1,52.33
37-300-M-4,37,300,83.45,M,4,0,1,30.88
37-300-M-5,37,300,83.45,M,5,0,1,57.4
37-300-M-6,37,300,83.45,M,6,0,1,36.62
37-300-M-7,37,300,83.45,M,7,0,1,28.27
37-300-M-8,37,300,83.45,M,8,0,1,31.76
37-300-M-9,37,300,83.45,M,9,0,1,42.79
37-300-M-10,37,300,83.45,M,10,0,1,37.36
37-300-M-11,37,300,83.45,M,11,0,1,38.84
37-300-M-12,37,300,83.45,M,12,0,1,26.78
37-300-M-13,37,300,83.45,M,13,0,1,28.99
37-300-M-14,37,300,83.45,M,14,0,1,24.56
37-300-M-15,37,300,83.45,M,15,0,1,34.67
37-250-M-1,37,250,69.54166667,M,1,0,1,31.43
37-250-M-2,37,250,69.54166667,M,2,0,1,55.38
37-250-M-3,37,250,69.54166667,M,3,0,1,54.93
37-250-M-4,37,250,69.54166667,M,4,0,1,25.52
37-250-M-5,37,250,69.54166667,M,5,0,1,46.97
37-250-M-6,37,250,69.54166667,M,6,0,1,28.76
37-250-M-7,37,250,69.54166667,M,7,0,1,54.77
37-250-M-8,37,250,69.54166667,M,8,0,1,32.52
37-250-M-9,37,250,69.54166667,M,9,0,1,26.65
37-250-M-10,37,250,69.54166667,M,10,0,1,52.26
37-250-M-11,37,250,69.54166667,M,11,0,1,33.09
37-250-M-12,37,250,69.54166667,M,12,0,1,50.14
37-250-M-13,37,250,69.54166667,M,13,0,1,33.52
37-250-M-14,37,250,69.54166667,M,14,0,1,30.74
37-250-M-15,37,250,69.54166667,M,15,0,1,31.58
37-200-M-1,37,200,55.63333333,M,1,2.37,0,38.42
37-200-M-2,37,200,55.63333333,M,2,1.44,0,39.22
37-200-M-3,37,200,55.63333333,M,3,1.27,1,39.38
37-200-M-4,37,200,55.63333333,M,4,0,1,39.25
37-200-M-5,37,200,55.63333333,M,5,0.51,0,22.82
37-200-M-6,37,200,55.63333333,M,6,0,1,22.82
37-200-M-7,37,200,55.63333333,M,7,0,1,30.63
37-200-M-8,37,200,55.63333333,M,8,2.37,0,48.27
37-200-M-9,37,200,55.63333333,M,9,2.62,0,39.13
37-200-M-10,37,200,55.63333333,M,10,0,0,46.2
37-200-M-11,37,200,55.63333333,M,11,0,0,30.57
37-200-M-12,37,200,55.63333333,M,12,2.87,1,48
37-200-M-13,37,200,55.63333333,M,13,4.82,0,54
37-200-M-14,37,200,55.63333333,M,14,2.03,1,12.63
37-200-M-15,37,200,55.63333333,M,15,4.56,1,
37-175-M-1,37,175,48.67916667,M,1,3.63,0,36.17
37-175-M-2,37,175,48.67916667,M,2,2.79,0,29.02
37-175-M-3,37,175,48.67916667,M,3,3.3,1,37.17
37-175-M-4,37,175,48.67916667,M,4,0.17,0,37.38
37-175-M-5,37,175,48.67916667,M,5,3.38,0,18.67
37-175-M-6,37,175,48.67916667,M,6,6,0,18.67
37-175-M-7,37,175,48.67916667,M,7,2.45,0,
37-175-M-8,37,175,48.67916667,M,8,0.25,0,29.33
37-175-M-9,37,175,48.67916667,M,9,1.94,0,29.52
37-175-M-10,37,175,48.67916667,M,10,0,0,30.02
37-175-M-11,37,175,48.67916667,M,11,0.68,0,48.25
37-175-M-12,37,175,48.67916667,M,12,1.86,0,50.2
37-175-M-13,37,175,48.67916667,M,13,0.17,0,
37-175-M-14,37,175,48.67916667,M,14,0,1,46.47
37-175-M-15,37,175,48.67916667,M,15,0,0,18.95
37-150-M-1,37,150,41.725,M,1,0,0,13.67
37-150-M-2,37,150,41.725,M,2,0,0,37.33
37-150-M-3,37,150,41.725,M,3,0.93,0,39.17
37-150-M-4,37,150,41.725,M,4,4.14,0,
37-150-M-5,37,150,41.725,M,5,2.28,0,
37-150-M-6,37,150,41.725,M,6,3.21,0,
37-150-M-7,37,150,41.725,M,7,0,0,
37-150-M-8,37,150,41.725,M,8,0.51,0,
37-150-M-9,37,150,41.725,M,9,0,1,16.83
37-150-M-10,37,150,41.725,M,10,2.96,0,
37-150-M-11,37,150,41.725,M,11,2.54,0,
37-150-M-12,37,150,41.725,M,12,1.61,0,
37-150-M-13,37,150,41.725,M,13,3.46,0,
37-150-M-14,37,150,41.725,M,14,6.76,0,
37-150-M-15,37,150,41.725,M,15,4.06,0,
37-125-M-1,37,125,34.77083333,M,1,10.99,0,32
37-125-M-2,37,125,34.77083333,M,2,3.3,0,32
37-125-M-3,37,125,34.77083333,M,3,1.35,1,32
37-125-M-4,37,125,34.77083333,M,4,0,1,32
37-125-M-5,37,125,34.77083333,M,5,2.79,0,
37-125-M-6,37,125,34.77083333,M,6,2.37,0,32.83
37-125-M-7,37,125,34.77083333,M,7,0,0,
37-125-M-8,37,125,34.77083333,M,8,0.08,0,
37-125-M-9,37,125,34.77083333,M,9,3.55,0,33.33
37-125-M-10,37,125,34.77083333,M,10,2.11,0,
37-125-M-11,37,125,34.77083333,M,11,0.51,0,
37-125-M-12,37,125,34.77083333,M,12,0.68,0,12.33
37-125-M-13,37,125,34.77083333,M,13,2.87,0,
37-125-M-14,37,125,34.77083333,M,14,0.59,0,25.5
37-125-M-15,37,125,34.77083333,M,15,0,0,
37-100-M-1,37,100,27.81666667,M,1,3.3,0,
37-100-M-2,37,100,27.81666667,M,2,2.2,1,
37-100-M-3,37,100,27.81666667,M,3,0.42,0,
37-100-M-4,37,100,27.81666667,M,4,2.28,0,
37-100-M-5,37,100,27.81666667,M,5,3.13,0,
37-100-M-6,37,100,27.81666667,M,6,0.17,0,
37-100-M-7,37,100,27.81666667,M,7,3.55,0,
37-100-M-8,37,100,27.81666667,M,8,1.35,0,
37-100-M-9,37,100,27.81666667,M,9,1.61,0,
37-100-M-10,37,100,27.81666667,M,10,0.51,0,
37-100-M-11,37,100,27.81666667,M,11,0,0,
37-100-M-12,37,100,27.81666667,M,12,0.42,0,
37-100-M-13,37,100,27.81666667,M,13,0.17,0,
37-100-M-14,37,100,27.81666667,M,14,0,0,
37-100-M-15,37,100,27.81666667,M,15,1.69,0,
37-75-M-1,37,75,20.8625,M,1,3.46,0,
37-75-M-2,37,75,20.8625,M,2,0,0,18.67
37-75-M-3,37,75,20.8625,M,3,0,1,
37-75-M-4,37,75,20.8625,M,4,0,0,
37-75-M-5,37,75,20.8625,M,5,0,1,
37-75-M-6,37,75,20.8625,M,6,1.27,0,
37-75-M-7,37,75,20.8625,M,7,2.37,0,
37-75-M-8,37,75,20.8625,M,8,1.18,0,
37-75-M-9,37,75,20.8625,M,9,2.96,0,
37-75-M-10,37,75,20.8625,M,10,2.37,0,
37-75-M-11,37,75,20.8625,M,11,1.86,0,
37-75-M-12,37,75,20.8625,M,12,2.54,0,
37-75-M-13,37,75,20.8625,M,13,1.61,0,
37-75-M-14,37,75,20.8625,M,14,2.2,1,
37-75-M-15,37,75,20.8625,M,15,0,1,
37-50-M-1,37,50,13.90833333,M,1,0,0,
37-50-M-2,37,50,13.90833333,M,2,0.51,0,
37-50-M-3,37,50,13.90833333,M,3,0,0,
37-50-M-4,37,50,13.90833333,M,4,0,1,
37-50-M-5,37,50,13.90833333,M,5,0,0,
37-50-M-6,37,50,13.90833333,M,6,1.86,0,
37-50-M-7,37,50,13.90833333,M,7,1.35,1,
37-50-M-8,37,50,13.90833333,M,8,4.73,0,
37-50-M-9,37,50,13.90833333,M,9,1.01,0,
37-50-M-10,37,50,13.90833333,M,10,3.38,0,
37-50-M-11,37,50,13.90833333,M,11,0,0,
37-50-M-12,37,50,13.90833333,M,12,2.03,0,
37-50-M-13,37,50,13.90833333,M,13,1.86,0,
37-50-M-14,37,50,13.90833333,M,14,0.42,0,
37-50-M-15,37,50,13.90833333,M,15,0.68,0,
37-25-M-1,37,25,6.954166667,M,1,0,1,
37-25-M-2,37,25,6.954166667,M,2,2.28,0,
37-25-M-3,37,25,6.954166667,M,3,0.93,0,
37-25-M-4,37,25,6.954166667,M,4,0,1,
37-25-M-5,37,25,6.954166667,M,5,0.17,0,
37-25-M-6,37,25,6.954166667,M,6,0,0,
37-25-M-7,37,25,6.954166667,M,7,3.21,0,
37-25-M-8,37,25,6.954166667,M,8,2.45,0,
37-25-M-9,37,25,6.954166667,M,9,1.86,0,
37-25-M-10,37,25,6.954166667,M,10,0,0,
37-25-M-11,37,25,6.954166667,M,11,2.37,0,
37-25-M-12,37,25,6.954166667,M,12,0.25,0,
37-25-M-13,37,25,6.954166667,M,13,3.04,1,
37-25-M-14,37,25,6.954166667,M,14,4.9,0,
37-25-M-15,37,25,6.954166667,M,15,1.01,0,
36-250-M-1,36,250,172.4211776,M,1,0,1,89.31
36-250-M-2,36,250,172.4211776,M,2,0,1,74.13
36-250-M-3,36,250,172.4211776,M,3,0,1,76.89
